have_formal_word,have_respone,num_misspelled_words,bad_grammar,keyword,requests_personal_info,sense_of_urgency,sense_of_threat,long_email,number_special_chars,number_digits,number_chars,number_words,number_links,suspicious_link,number_dot_in_link,spam
0,0,27,1,0,0,0,0,0,0,0,312,57,0,0,0,1
0,0,25,1,0,0,0,0,0,0,0,337,59,0,0,0,1
0,0,5,1,0,0,0,0,0,0,0,204,39,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,46,8,0,0,0,1
0,0,18,1,0,0,0,0,1,0,0,1783,277,1,1,4,1
0,0,8,1,0,0,0,0,0,0,0,347,65,1,1,4,1
0,0,14,1,0,0,0,0,1,0,0,665,129,0,0,0,1
1,0,19,1,0,0,0,0,1,0,0,1171,194,0,0,0,1
0,0,16,1,0,0,0,0,1,0,0,644,113,1,1,4,1
1,0,2,1,0,0,0,0,0,0,0,107,21,0,0,0,1
0,0,10,1,0,0,0,0,0,0,0,309,54,0,0,0,1
1,0,4,1,0,0,0,0,0,0,0,123,22,1,1,4,1
0,0,4,1,0,0,0,0,1,0,0,530,82,2,1,8,1
0,0,3,1,0,0,0,0,0,0,0,305,51,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,205,37,1,1,4,1
0,0,87,1,0,0,0,0,1,0,0,5403,816,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,169,26,0,0,0,1
0,0,6,1,0,0,0,0,0,0,0,194,37,1,1,4,1
0,0,4,1,0,0,0,0,1,0,0,505,95,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,152,24,0,0,0,1
0,0,22,1,0,0,0,0,1,0,0,929,168,1,1,4,1
1,0,2,1,0,0,0,0,0,0,0,112,22,0,0,0,1
0,0,69,1,0,0,0,1,1,0,0,11971,1803,1,1,4,1
0,0,2,1,0,0,0,0,0,0,0,399,69,0,0,0,1
0,0,80,1,0,0,0,0,1,0,0,5425,820,0,0,0,1
0,0,17,1,0,0,0,0,0,0,0,421,63,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,118,20,0,0,0,1
1,0,5,1,0,0,0,0,0,0,0,180,33,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,1735,279,0,0,0,1
0,0,18,1,0,0,0,0,0,0,0,373,61,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,282,49,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,196,34,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,175,30,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,2543,417,0,0,0,1
0,0,15,1,0,0,0,1,1,0,0,3338,489,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,82,16,0,0,0,1
0,0,5,1,0,0,0,0,0,0,0,204,39,0,0,0,1
0,0,9,1,0,0,0,0,1,0,0,751,135,1,1,4,1
0,0,12,1,0,0,0,0,0,0,0,396,74,0,0,0,1
0,0,1,1,0,0,0,0,1,0,0,589,99,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,386,63,0,0,0,1
0,0,1,1,1,0,0,0,0,0,0,353,54,0,0,0,1
1,0,7,1,0,0,0,0,0,0,0,152,38,0,0,0,1
1,1,2,1,0,0,0,0,0,0,0,66,13,0,0,0,1
0,0,12,1,0,0,0,1,1,0,0,506,83,1,1,4,1
0,0,15,1,0,0,0,0,0,0,0,368,60,0,0,0,1
1,0,9,1,0,0,0,0,0,0,0,316,48,0,0,0,1
0,0,15,1,0,0,0,0,1,0,0,746,111,0,0,0,1
1,1,4,1,0,0,0,0,0,0,0,191,34,1,1,4,1
0,0,15,1,0,0,0,0,1,0,0,1872,298,0,0,0,1
0,0,12,1,0,0,0,0,1,0,0,725,138,1,1,4,1
0,0,11,1,0,0,0,0,0,0,0,305,53,0,0,0,1
0,0,1,1,0,0,0,0,1,0,0,442,72,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,283,43,0,0,0,1
0,0,5,1,0,0,0,0,0,0,0,274,38,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,100,19,0,0,0,1
0,0,55,1,0,0,0,0,1,0,0,2582,399,0,0,0,1
1,0,4,1,0,0,0,0,0,0,0,181,33,0,0,0,1
1,0,4,1,0,0,0,0,0,0,0,180,33,0,0,0,1
0,0,2,1,0,0,0,0,1,0,0,804,137,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,188,33,0,0,0,1
0,0,25,1,0,0,0,0,1,0,0,6263,951,1,1,4,1
0,0,17,1,0,0,0,0,0,0,0,266,43,0,0,0,1
0,0,3,1,0,0,0,0,1,0,0,642,108,0,0,0,1
1,0,7,1,0,0,0,0,0,0,0,329,55,0,0,0,1
0,0,14,1,0,0,0,0,1,0,0,574,94,3,1,12,1
0,0,19,1,0,0,0,0,1,0,0,1796,286,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,350,55,1,1,4,1
0,1,18,1,0,0,0,0,0,0,0,292,50,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,136,26,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,453,79,1,1,4,1
0,0,5,1,0,0,0,0,1,0,0,437,69,0,0,0,1
0,0,6,1,0,0,0,0,0,0,0,205,39,0,0,0,1
0,0,7,1,0,0,0,0,0,0,0,257,46,1,1,4,1
1,0,4,1,0,0,0,0,0,0,0,415,80,0,0,0,1
0,0,25,1,0,0,0,0,1,0,0,1629,271,3,1,12,1
0,0,7,1,0,0,0,0,0,0,0,206,34,1,1,4,1
0,0,17,1,0,0,0,0,0,0,0,372,61,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,188,38,0,0,0,1
0,0,8,1,0,0,0,0,0,0,0,423,72,0,0,0,1
1,0,4,1,0,0,0,0,0,0,0,142,22,0,0,0,1
0,0,9,1,0,0,0,0,0,0,0,393,65,0,0,0,1
1,0,8,1,0,0,0,0,1,0,0,732,127,3,1,12,1
1,0,8,1,0,0,0,0,1,0,0,773,120,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,120,23,0,0,0,1
0,1,0,1,0,0,0,0,0,0,0,145,25,0,0,0,1
1,0,8,1,0,0,0,0,0,0,0,214,41,0,0,0,1
0,0,2,1,0,0,0,0,1,0,0,480,90,2,1,8,1
1,0,2,1,0,0,0,0,0,0,0,31,6,0,0,0,1
0,0,17,1,0,0,0,0,1,0,0,1422,232,0,0,0,1
0,0,14,1,0,0,0,0,0,0,0,370,61,0,0,0,1
0,0,0,1,1,0,0,0,0,0,0,421,65,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,96,19,0,0,0,1
0,0,12,1,0,0,0,0,0,0,0,317,51,0,0,0,1
0,0,3,1,0,0,0,0,1,0,0,489,82,0,0,0,1
1,1,1,1,0,0,0,0,0,0,0,46,7,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,186,39,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,561,96,1,1,4,1
0,0,22,1,0,0,0,0,0,0,0,329,56,0,0,0,1
0,0,85,1,0,0,0,1,1,0,0,12166,1795,0,0,0,1
0,0,28,1,0,0,0,0,0,0,0,363,61,1,1,4,1
0,0,17,1,0,0,0,0,0,0,0,376,61,0,0,0,1
0,0,11,1,0,0,0,0,1,0,0,1355,203,1,1,4,1
0,0,0,1,0,0,0,0,0,0,0,114,19,0,0,0,1
0,0,31,1,0,0,0,0,0,0,0,357,67,1,1,4,1
0,0,7,1,0,0,0,0,0,0,0,259,51,1,1,4,1
0,0,5,1,0,0,0,0,0,0,0,233,42,1,1,4,1
0,0,6,1,0,0,0,0,0,0,0,152,29,1,1,4,1
0,0,6,1,0,0,0,0,1,0,0,493,84,1,1,4,1
0,0,16,1,0,0,0,0,0,0,0,367,60,0,0,0,1
0,0,10,1,0,0,0,0,0,0,0,396,64,0,0,0,1
0,0,15,1,0,0,0,0,1,0,0,446,84,0,0,0,1
1,0,2,1,0,0,0,0,0,0,0,86,16,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,80,16,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,119,17,0,0,0,1
0,0,18,1,0,0,0,0,0,0,0,323,52,0,0,0,1
1,0,10,1,0,0,0,0,0,0,0,312,48,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,247,46,0,0,0,1
0,0,22,1,0,0,0,0,1,0,0,560,91,0,0,0,1
0,0,14,1,0,0,0,0,0,0,0,373,61,0,0,0,1
0,0,13,1,0,0,0,0,1,0,0,477,70,0,0,0,1
1,1,1,1,0,0,0,0,0,0,0,43,8,0,0,0,1
0,0,24,1,0,0,0,0,0,0,0,318,54,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,988,158,1,1,4,1
0,0,29,1,0,0,0,0,1,0,0,13576,2148,0,0,0,1
0,0,14,1,0,0,0,0,1,0,0,1120,182,1,1,4,1
0,0,5,1,0,0,0,0,0,0,0,204,39,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,143,21,0,0,0,1
1,0,8,1,0,0,0,0,0,0,0,322,49,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,327,53,0,0,0,1
0,0,8,1,0,0,0,0,0,0,0,180,32,2,1,8,1
0,0,25,1,0,0,0,0,0,0,0,354,62,0,0,0,1
0,0,21,1,0,0,0,0,1,0,0,2481,368,0,0,0,1
0,0,16,1,0,0,0,0,1,0,0,768,114,0,0,0,1
0,0,9,1,0,0,0,0,0,0,0,399,67,0,0,0,1
0,0,18,1,0,0,0,0,1,0,0,770,115,0,0,0,1
1,0,12,1,0,0,0,0,0,0,0,309,49,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,204,39,0,0,0,1
0,0,7,1,0,0,0,0,0,0,0,224,37,0,0,0,1
0,0,15,1,0,0,0,0,1,0,0,749,112,0,0,0,1
0,0,11,1,0,0,0,0,0,0,0,307,54,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,420,70,0,0,0,1
0,0,21,1,0,0,0,1,1,0,0,7292,1244,0,0,0,1
1,0,8,1,0,0,0,0,0,0,0,129,29,1,1,4,1
0,0,26,1,0,0,0,0,1,0,0,680,122,1,1,4,1
0,0,5,1,0,0,0,0,0,0,0,314,52,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,213,34,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,251,44,1,1,4,1
1,0,3,1,0,0,0,0,1,0,0,616,108,0,0,0,1
0,0,15,1,0,0,0,0,1,0,0,1577,285,1,1,4,1
0,0,1,1,0,0,0,0,1,0,0,720,106,0,0,0,1
1,0,8,1,0,0,0,0,0,0,0,188,32,0,0,0,1
0,0,25,1,0,0,0,1,1,0,0,2433,406,0,0,0,1
0,0,26,1,0,0,0,0,1,0,0,471,76,1,1,4,1
0,0,6,1,0,0,0,0,1,0,0,1137,174,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,123,21,0,0,0,1
0,0,6,1,0,0,0,0,0,0,0,152,31,1,1,4,1
0,0,12,1,0,0,0,0,0,0,0,184,40,1,1,4,1
0,0,24,1,0,0,0,0,1,0,0,4127,594,0,0,0,1
0,0,9,1,0,0,0,0,0,0,0,273,49,1,1,4,1
0,0,5,1,0,0,0,0,0,0,0,318,55,0,0,0,1
0,0,24,1,0,0,0,0,1,0,0,581,101,1,1,4,1
0,0,6,1,0,0,0,0,0,0,0,176,33,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,159,31,0,0,0,1
1,0,3,1,0,0,0,0,1,0,0,533,83,0,0,0,1
0,0,48,1,0,0,0,1,1,0,0,3676,637,1,1,4,1
0,0,9,1,0,0,0,0,0,0,0,307,54,0,0,0,1
0,0,1,1,0,0,0,1,1,0,0,864,126,0,0,0,1
0,0,18,1,0,0,0,0,1,0,0,776,116,0,0,0,1
1,0,5,1,0,0,0,0,0,0,0,225,39,1,1,4,1
0,0,13,1,0,0,0,0,1,0,0,1319,198,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,40,7,0,0,0,1
1,0,30,1,0,0,0,0,1,0,0,956,180,1,1,4,1
0,0,0,1,0,0,0,0,0,0,0,193,32,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,132,19,0,0,0,1
0,0,8,1,0,0,0,0,0,0,0,307,54,0,0,0,1
0,0,7,1,0,0,0,0,1,0,0,632,113,1,1,4,1
0,1,1,1,0,0,0,0,0,0,0,63,11,0,0,0,1
0,0,24,1,0,0,0,0,0,0,0,343,57,0,0,0,1
0,0,7,1,0,0,0,0,1,0,0,644,108,1,1,4,1
0,0,17,1,0,0,0,0,1,0,0,774,113,0,0,0,1
0,0,5,1,0,0,0,0,1,0,0,1392,204,0,0,0,1
0,0,73,1,0,0,0,0,1,0,0,5424,814,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,138,24,0,0,0,1
0,0,8,1,0,0,0,0,0,0,0,307,54,0,0,0,1
1,0,11,1,0,0,0,0,0,0,0,311,48,0,0,0,1
0,0,20,1,0,0,0,1,1,0,0,4092,638,1,1,4,1
1,0,7,1,0,0,0,0,1,0,0,563,100,0,0,0,1
0,0,8,1,0,0,0,0,0,0,0,204,37,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,45,7,1,1,4,1
0,0,3,1,0,0,0,0,1,0,0,590,104,0,0,0,1
1,0,2,1,0,0,0,0,0,0,0,123,21,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,82,16,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,120,21,0,0,0,1
1,0,4,1,0,0,0,0,0,0,0,267,46,1,1,4,1
0,0,0,1,0,0,0,0,0,0,0,155,26,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,183,28,0,0,0,1
1,0,9,1,0,0,0,0,0,0,0,337,69,0,0,0,1
0,0,5,1,0,0,0,0,1,0,0,531,85,1,1,4,1
1,0,0,1,0,0,0,0,0,0,0,164,28,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,628,107,0,0,0,1
0,0,14,1,0,0,0,0,1,0,0,1398,230,0,0,0,1
0,0,12,1,0,0,0,0,0,0,0,327,52,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,100,20,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,152,30,0,0,0,1
0,0,13,1,0,0,0,0,1,0,0,839,141,0,0,0,1
0,0,9,1,0,0,0,0,1,0,0,436,67,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,201,37,0,0,0,1
1,0,8,1,0,0,0,0,0,0,0,311,54,0,0,0,1
0,0,9,1,0,0,0,0,0,0,0,319,57,1,1,4,1
0,0,1,1,0,0,0,0,0,0,0,374,62,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,194,33,0,0,0,1
0,0,4,1,0,0,0,0,1,0,0,611,111,1,1,4,1
0,0,12,1,0,0,0,0,1,0,0,2974,444,0,0,0,1
0,0,15,1,0,0,0,0,1,0,0,677,120,1,1,4,1
0,0,14,1,0,0,0,0,1,0,0,766,114,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,116,22,0,0,0,1
1,0,3,1,0,0,0,0,1,0,0,556,93,0,0,0,1
0,0,3,1,0,0,0,0,1,0,0,426,82,0,0,0,1
0,0,24,1,0,0,0,0,1,0,0,557,91,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,283,60,0,0,0,1
0,0,10,1,0,0,0,0,0,0,0,314,50,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,265,52,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,291,55,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,169,29,1,1,4,1
1,0,1,1,0,0,0,0,0,0,0,164,27,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,180,33,0,0,0,1
0,0,5,1,0,0,0,0,1,0,0,1448,222,0,0,0,1
0,0,8,1,0,0,0,0,1,0,0,435,67,0,0,0,1
0,0,9,1,0,0,0,0,0,0,0,309,54,0,0,0,1
0,0,12,1,0,0,0,0,0,0,0,318,51,0,0,0,1
1,0,2,1,0,0,0,0,0,0,0,45,8,1,1,4,1
0,0,12,1,0,0,0,0,1,0,0,1520,231,1,1,4,1
0,0,24,1,0,0,0,1,1,0,0,2569,399,0,0,0,1
0,0,12,1,0,0,0,0,1,0,0,514,97,1,1,4,1
0,0,17,1,0,0,0,0,0,0,0,369,60,0,0,0,1
1,0,19,1,0,0,0,0,0,0,0,308,51,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,67,9,0,0,0,1
0,0,15,1,0,0,0,0,0,0,0,370,61,0,0,0,1
0,0,5,1,0,0,0,0,1,0,0,929,160,0,0,0,1
0,0,15,1,0,0,0,0,0,0,0,374,61,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,183,29,0,0,0,1
0,0,15,1,0,0,0,0,1,0,0,1466,259,1,1,4,1
0,0,3,1,0,0,0,0,0,0,0,53,9,0,0,0,1
0,0,7,1,0,0,0,0,1,0,0,513,106,0,0,0,1
1,0,31,1,0,0,0,0,1,0,0,900,170,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,106,17,0,0,0,1
0,0,2,1,0,0,0,0,1,0,0,437,75,0,0,0,1
0,0,21,1,0,0,0,0,1,0,0,820,155,1,1,4,1
1,0,2,1,0,0,0,0,1,0,0,533,95,0,0,0,1
1,0,14,1,0,0,0,0,0,0,0,310,49,0,0,0,1
0,0,28,1,0,0,0,0,0,0,0,371,63,1,1,4,1
0,0,13,1,0,0,0,0,1,0,0,1038,178,1,1,4,1
0,0,1,1,0,0,0,0,0,0,0,108,19,0,0,0,1
0,0,9,1,0,0,0,0,1,0,0,820,152,1,1,4,1
0,0,6,1,0,0,0,0,0,0,0,280,51,0,0,0,1
0,0,2,1,0,0,0,0,1,0,0,743,117,0,0,0,1
0,0,6,1,0,0,0,0,0,0,0,138,25,1,1,4,1
0,0,8,1,0,0,0,0,0,0,0,308,54,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,137,22,0,0,0,1
0,0,10,1,0,0,0,0,0,0,0,404,69,1,1,4,1
0,0,14,1,0,0,0,0,1,0,0,1674,257,0,0,0,1
0,0,5,1,0,0,0,0,1,0,0,549,85,1,1,4,1
1,0,7,1,0,0,0,0,0,0,0,171,33,1,1,4,1
0,0,6,1,0,0,0,0,0,0,0,359,68,2,1,8,1
0,0,6,1,0,0,0,0,0,0,0,319,59,3,1,12,1
0,0,23,1,0,0,0,0,1,0,0,559,91,0,0,0,1
0,0,23,1,0,0,0,1,1,0,0,2894,483,3,1,12,1
0,0,24,1,0,0,0,0,0,0,0,348,58,0,0,0,1
1,0,5,1,0,0,0,0,0,0,0,181,33,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,185,28,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,341,56,0,0,0,1
0,0,11,1,0,0,0,0,1,0,0,1425,236,1,1,4,1
0,0,7,1,0,0,0,0,1,0,0,1063,179,0,0,0,1
0,0,25,1,0,0,0,0,1,0,0,964,168,2,1,8,1
0,0,30,1,0,0,0,0,0,0,0,370,64,1,1,4,1
0,0,15,1,0,0,0,0,1,0,0,766,114,0,0,0,1
0,0,17,1,0,0,0,0,1,0,0,548,86,0,0,0,1
1,0,6,1,0,0,0,0,0,0,0,181,33,0,0,0,1
1,0,1,1,0,0,0,0,1,0,0,605,106,0,0,0,1
1,0,6,1,0,0,0,0,0,0,0,309,48,0,0,0,1
0,0,14,1,0,0,0,0,0,0,0,370,61,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,234,33,0,0,0,1
0,0,21,1,0,0,0,0,0,0,0,265,48,1,1,4,1
1,0,7,1,0,0,0,0,1,0,0,482,82,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,525,88,1,1,4,1
0,0,11,1,0,0,0,0,0,0,0,315,51,0,0,0,1
0,0,7,1,0,0,0,0,0,0,0,310,53,0,0,0,1
0,0,15,1,0,0,0,0,1,0,0,1821,287,0,0,0,1
0,0,12,1,0,0,0,0,0,0,0,300,52,2,1,8,1
0,0,24,1,0,0,0,0,1,0,0,1253,238,5,1,20,1
0,0,12,1,0,0,0,0,0,0,0,317,52,0,0,0,1
0,0,7,1,0,0,0,0,0,0,0,265,49,1,1,4,1
0,0,5,1,0,0,0,0,0,0,0,171,30,1,1,4,1
0,0,17,1,0,0,0,0,1,0,0,442,86,4,1,16,1
0,0,29,1,0,0,0,0,0,0,0,366,61,0,0,0,1
0,0,7,1,0,0,0,0,1,0,0,1014,170,5,1,20,1
1,0,3,1,0,0,0,0,0,0,0,116,23,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,306,50,0,0,0,1
0,0,18,1,0,0,0,0,0,0,0,326,56,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,613,107,3,1,12,1
1,0,8,1,0,0,0,0,0,0,0,138,25,0,0,0,1
1,0,12,1,0,0,0,0,0,0,0,286,47,1,1,4,1
0,0,1,1,0,0,0,0,0,0,0,103,20,0,0,0,1
1,0,18,1,0,0,0,0,0,0,0,321,50,0,0,0,1
0,0,18,1,0,0,0,0,1,0,0,666,114,1,1,4,1
1,0,15,1,0,0,0,0,0,0,0,172,24,0,0,0,1
1,0,2,1,0,0,0,0,0,0,0,259,43,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,333,57,0,0,0,1
0,0,3,1,0,0,0,0,1,0,0,737,127,0,0,0,1
1,1,2,1,0,0,0,1,0,0,0,144,22,0,0,0,1
0,0,16,1,0,0,0,0,1,0,0,766,114,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,81,16,0,0,0,1
0,0,5,1,0,0,0,0,0,0,0,384,68,2,1,8,1
0,0,6,1,0,0,0,0,0,0,0,382,71,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,249,44,1,1,4,1
0,0,4,1,0,0,0,1,0,0,0,349,62,1,1,4,1
0,0,18,1,0,0,0,0,1,0,0,676,117,1,1,4,1
0,0,21,1,0,0,0,0,1,0,0,558,91,0,0,0,1
0,0,10,1,0,0,0,0,1,0,0,986,162,0,0,0,1
0,0,11,1,0,0,0,0,1,0,0,727,121,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,80,16,0,0,0,1
0,0,14,1,0,0,0,0,0,0,0,416,64,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,185,29,0,0,0,1
0,0,10,1,0,0,0,0,0,0,0,304,53,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,137,22,0,0,0,1
1,0,2,1,0,0,0,0,0,0,0,250,37,0,0,0,1
0,0,16,1,0,0,0,0,0,0,0,373,61,0,0,0,1
0,0,9,1,0,0,0,0,0,0,0,306,54,0,0,0,1
0,0,26,1,0,0,0,0,1,0,0,771,138,1,1,4,1
0,0,1,1,0,0,0,0,0,0,0,140,22,0,0,0,1
0,0,5,1,0,0,0,0,1,0,0,535,85,1,1,4,1
0,0,1,1,0,0,0,0,0,0,0,153,24,0,0,0,1
0,0,9,1,0,0,0,1,1,0,0,622,108,1,1,4,1
0,0,1,1,0,0,0,0,0,0,0,311,51,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,117,22,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,141,23,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,110,20,0,0,0,1
1,0,6,1,0,0,0,0,0,0,0,181,33,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,111,22,0,0,0,1
1,0,4,1,0,0,0,0,0,0,0,205,36,1,1,4,1
0,0,1,1,0,0,0,0,0,0,0,156,26,0,0,0,1
0,0,10,1,0,0,0,0,1,0,0,441,72,1,1,4,1
0,0,8,1,1,0,0,0,1,0,0,1850,279,0,0,0,1
1,0,1,1,0,0,0,0,0,0,0,134,17,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,414,75,1,1,4,1
0,0,4,1,0,0,0,0,1,0,0,1508,252,0,0,0,1
1,0,5,1,0,0,0,0,0,0,0,181,33,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,270,44,0,0,0,1
0,0,10,1,0,0,0,0,0,0,0,315,51,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,387,76,0,0,0,1
1,0,13,1,0,0,0,0,0,0,0,373,72,3,1,12,1
0,0,23,1,0,0,0,0,1,0,0,561,91,0,0,0,1
0,0,7,1,0,0,0,0,1,0,0,1270,190,1,1,4,1
0,0,3,1,0,0,0,0,0,0,0,362,62,2,1,8,1
1,0,7,1,0,0,0,0,0,0,0,333,55,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,612,109,0,0,0,1
1,0,2,1,0,0,0,0,0,0,0,86,16,0,0,0,1
1,1,2,1,0,0,0,0,0,0,0,58,10,0,0,0,1
0,0,5,1,0,0,0,0,1,0,0,745,117,0,0,0,1
0,0,18,1,0,1,0,0,1,0,0,1356,263,17,1,68,1
0,0,11,1,0,0,0,0,1,0,0,623,121,1,1,4,1
0,0,55,1,0,0,0,1,1,0,0,3485,590,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,204,34,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,82,16,0,0,0,1
0,0,8,1,0,0,0,0,1,0,0,798,141,0,0,0,1
1,0,25,1,0,0,0,0,0,0,0,324,54,0,0,0,1
0,0,8,1,0,0,0,1,1,0,0,2523,384,0,0,0,1
1,0,6,1,0,0,0,0,1,0,0,477,85,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,379,58,0,0,0,1
0,0,9,1,0,0,0,0,0,0,0,304,53,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,491,80,1,1,4,1
0,0,45,1,0,0,0,1,1,0,0,2273,337,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,187,27,0,0,0,1
0,0,5,1,0,0,1,0,1,0,0,1028,153,0,0,0,1
1,0,2,1,0,0,0,0,0,0,0,52,7,1,1,4,1
